(40.638748289, -73.895193214)
(40.690834595, -73.965395075)
(40.68336304, -73.974867134)
(40.689061354, -73.964999351)
(40.710229379, -73.950996658)
(40.677109967, -74.010481805)
(40.670056817, -73.921174536)
(40.685685145, -73.909412362)
(40.622988083, -73.948121236)
(40.700897653, -73.922007239)
(40.578416273, -73.950308588)
(40.682728381, -73.915794544)
(40.621049185, -73.935187286)
(40.709459979, -73.94314486)
(40.680480746, -73.991943382)
(40.71853771, -73.92968491)
(40.659144599, -73.960542179)
(40.670330448, -73.990398128)
(40.679660254, -73.90585485)
(40.590327083, -73.982081603)
(40.70708787, -73.954017889)
(40.692435469, -73.951976155)
(40.677417987, -73.890582639)
(40.587152447, -73.949088767)
(40.587152447, -73.949088767)
(40.615968922, -74.031060735)
(40.692661539, -73.936978402)
(40.69672775, -73.929592511)
(40.605421079, -73.961232974)
(40.688999611, -73.936246269)
(40.613763507, -74.003487977)
(40.668155231, -73.952054916)
(40.690345855, -73.90952142)
(40.648562108, -73.975391964)
(40.672071111, -73.876950296)
(40.673202944, -73.946012906)
(40.67278405, -73.866472894)
(40.691319735, -73.990441984)
(40.704058812, -73.950214939)
(40.706526219, -73.943944466)
(40.688448907, -73.963824172)
(40.684194302, -73.916084746)
(40.686090584, -73.986775736)
(40.668895087, -73.893116356)
(40.698247854, -73.995882985)
(40.622154097, -73.955715421)
(40.661942178, -73.868869895)
(40.602885911, -73.997682263)
(40.669058206, -73.910581264)
(40.665022689, -73.957110763)
(40.577379617, -73.96829052)
(40.689048256, -73.958616984)
(40.669900788, -73.958830733)
(40.677133271, -73.940079143)
(40.576281819, -73.981383414)
(40.576281819, -73.981383414)
(40.576281819, -73.981383414)
(40.672690193, -73.960869429)
(40.684461543, -73.97775121)
(40.682793016, -73.979330986)
(40.657739603, -73.868597031)
(40.634435062, -74.033940849)
(40.611979156, -73.973597396)
(40.68773221, -73.937491478)
(40.668363097, -73.933948143)
(40.689201653, -73.913572365)
(40.615440616, -74.001741151)
(40.594238933, -73.936840843)
(40.69195934, -73.955618576)
(40.688835452, -73.987647807)
(40.679347115, -73.955626969)
(40.618868508, -73.928352675)
(40.655193204, -73.933193523)
(40.643549291, -73.954594977)
(40.629617431, -73.996737441)
(40.607733136, -73.995013407)
(40.706975208, -73.953700567)
(40.678954527, -74.009674503)
(40.610749467, -74.008411249)
(40.672280091, -73.906517764)
(40.614846919, -73.954337157)
(40.652137548, -73.941997225)
(40.674142126, -73.93620279)
(40.694267989, -73.997552875)
(40.576281819, -73.981383414)
(40.654223423, -73.911563409)
(40.671029183, -73.959651952)
(40.614712894, -73.955536663)
(40.713038132, -73.960362384)
(40.646689846, -74.006887868)
(40.575061929, -73.975069869)
(40.691420752, -73.985321465)
(40.677573586, -73.889688283)
(40.690866375, -73.985848057)
(40.646832781, -73.999565409)
(40.689869978, -73.931932773)
(40.669488093, -73.943579065)
(40.651698159, -73.868446756)
(40.674343706, -73.998869454)
(40.661576773, -73.90478464)
(40.702559622, -73.991223003)
(40.690267001, -73.935004618)
(40.654457271, -73.93262483)
(40.699550239, -73.935767343)
(40.684109353, -73.881853327)
(40.62953228, -74.005009117)
(40.622153897, -74.027284856)
(40.694453249, -73.96907508)
(40.629370324, -73.964075954)
(40.661076321, -73.958821762)
(40.656417563, -74.000354645)
(40.63148049, -73.919544819)
(40.703968961, -73.940206502)
(40.655784462, -73.910602659)
(40.665695618, -73.939761398)
(40.684208406, -74.002330662)
(40.675571392, -73.925778983)
(40.719096995, -73.949355946)
(40.661942178, -73.868869895)
(40.639327638, -73.936794566)
(40.711071595, -73.950004099)
(40.721130975, -73.956335101)
(40.668806093, -73.931121567)
(40.677966381, -73.955335861)
(40.634516795, -73.949452557)
(40.587947709, -73.961297123)
(40.681077426, -73.930189508)
(40.647867814, -73.917006118)
(40.676402967, -73.958285943)
(40.712512699, -73.950244696)
(40.695499696, -73.98713449)
(40.663382884, -73.886665968)
(40.619504093, -74.019024149)
(40.682679461, -73.994521061)
(40.668503474, -73.925599401)
(40.693211074, -73.928575702)
(40.64810438, -73.945398972)
(40.723922719, -73.950358842)
(40.671941046, -73.947524395)
(40.639305956, -73.948339154)
(40.657356096, -73.974044374)
(40.694819367, -73.963348307)
(40.678051832, -73.920418796)
(40.691855362, -74.000192564)
(40.587547502, -73.989333514)
(40.655159758, -73.861786885)
(40.64500992, -74.008635382)
(40.625983665, -73.976236058)
(40.605441233, -73.974395879)
(40.681514273, -73.904099981)
(40.635345739, -73.994906858)
(40.691267387, -73.942590628)
(40.671711322, -73.994132629)
(40.621500222, -73.961641493)
(40.714519351, -73.965959937)
(40.692705965, -73.992039269)
(40.687367279, -73.973167309)
(40.698563765, -73.920783801)
(40.684660286, -73.911580734)
(40.709323694, -73.958175169)
(40.671169066, -73.883163197)
(40.621500886, -74.026214732)
(40.698330894, -73.917495073)
(40.688604586, -73.985073283)
(40.639019714, -73.918534051)
(40.712778659, -73.964269076)
(40.689071349, -73.942148997)
(40.671421662, -73.946180173)
(40.718273224, -73.96285562)
(40.649944446, -73.961599914)
(40.574825477, -73.99092661)
(40.693138637, -73.93608725)
(40.694427615, -73.957542618)
(40.671971711, -73.955130789)
(40.619209783, -74.022442447)
(40.626697863, -73.958767319)
(40.623331871, -73.997123195)
(40.616111904, -73.918842958)
(40.680347223, -73.930035241)
(40.676402967, -73.958285943)
(40.713686117, -73.941550483)
(40.619209783, -74.022442447)
(40.673238089, -73.900070667)
(40.664736224, -73.986700668)
(40.714459204, -73.945229185)
(40.6945423, -73.99336251)
(40.657491384, -73.977839495)
(40.666657116, -73.892070988)
(40.645926064, -74.014689431)
(40.711051349, -73.961615212)
(40.627198585, -73.927763727)
(40.702770532, -73.986671442)
(40.692288947, -73.995497506)
(40.695689767, -73.95636258)
(40.603988443, -73.985617982)
(40.608242657, -73.927161178)
(40.713499903, -73.954688009)
(40.674464824, -73.944504964)
(40.628089722, -73.946103435)
(40.617332532, -73.934827095)
(40.700076296, -73.939088385)
(40.666964339, -73.946601911)
(40.681647104, -73.989783571)
(40.64831592, -73.897462907)
(40.677435201, -73.945616509)
(40.575301037, -73.976542065)
(40.703075079, -73.985657922)
(40.692325494, -73.939899611)
(40.703032823, -73.925766443)
(40.684647403, -73.993385128)
(40.678959455, -73.923136122)
(40.687005495, -73.956844223)
(40.621824834, -74.025941091)
(40.656695524, -73.910338337)
(40.693049236, -73.924439703)
(40.644253203, -73.891022592)
(40.663911599, -73.939928816)
(40.690963815, -73.906570901)
(40.643688743, -74.017016741)
(40.669933829, -73.891481704)
(40.594978166, -74.00106367)
(40.705820758, -73.943829643)
(40.668926921, -73.922578128)
(40.616606705, -73.972849963)
(40.66674631, -73.920731471)
(40.616713518, -73.971877392)
(40.694006943, -73.991440496)
(40.677192756, -74.002752227)
(40.689330153, -73.949681448)
(40.687992446, -73.961278722)
(40.678806596, -73.920349394)
(40.6943809, -73.976518204)
(40.646529505, -73.960333425)
(40.677192756, -74.002752227)
(40.646724532, -73.953407241)
(40.66156215, -73.925945955)
(40.687368118, -73.977047116)
(40.7174423, -73.957084248)
(40.707130639, -73.966612942)
(40.660869587, -73.92051859)
(40.692403887, -73.990070406)
(40.58426104, -73.981878018)
(40.689453173, -73.955122632)
(40.631786725, -73.945617679)
(40.63750152, -73.95923625)
(40.692403887, -73.990070406)
(40.675583828, -73.989034631)
(40.648795592, -73.896719809)
(40.656378143, -73.901508727)
(40.662518015, -73.927011804)
(40.66906428, -73.91497188)
(40.665003124, -73.994919013)
(40.609583959, -73.958439342)
(40.648540697, -73.958256514)
(40.667789106, -73.905871605)
(40.692529376, -73.941388727)
(40.668927716, -73.915891272)
(40.713776573, -73.936154034)
(40.632240547, -73.947624063)
(40.680498195, -73.951357412)
(40.668349566, -73.906516063)
(40.639474193, -73.975715999)
(40.689968325, -73.982173826)
(40.669712381, -73.947731623)
(40.681643812, -73.931793346)
(40.639033707, -73.941532997)
(40.671417476, -73.899125303)
(40.576825489, -73.960475613)
(40.690106415, -73.988970943)
(40.653211438, -74.007115588)
(40.625261391, -73.995112966)
(40.649213827, -73.952854135)
(40.642829971, -73.985497907)
(40.718153123, -73.944125883)
(40.670937865, -73.862702275)
(40.690208563, -73.929008023)
(40.677581002, -73.886032554)
(40.65774823, -73.889886858)
(40.707839121, -73.945833366)
(40.673725074, -73.94735716)
(40.67036646, -73.912846962)
(40.587915586, -73.955936146)
(40.646778871, -73.952052258)
(40.649293462, -73.897911868)
(40.577587416, -73.976336071)
(40.721407552, -73.942387893)
(40.645968299, -73.950031258)
(40.684070285, -73.936762975)
(40.722983998, -73.950327071)
(40.652286628, -73.887585787)
(40.707839121, -73.945833366)
(40.638987925, -74.007726607)
(40.601716651, -74.000059058)
(40.644113487, -73.93489823)
(40.696331758, -73.920047171)
(40.659273407, -73.904189622)
(40.656686753, -73.950203437)
(40.622468986, -73.927253722)
(40.581061944, -73.964206337)
(40.659502392, -73.94904797)
(40.609049459, -73.982793285)
(40.697917328, -73.926940593)
(40.579162625, -74.000372232)
(40.669849045, -73.8657542)
(40.665636874, -73.884434498)
(40.651686501, -73.959040184)
(40.610609078, -73.923560573)
(40.685144935, -73.977462531)
(40.689405478, -73.981117453)
(40.703895645, -73.947455963)
(40.651698159, -73.868446756)
(40.692435469, -73.951976155)
(40.727623753, -73.952979064)
(40.690042672, -73.983789256)
(40.664206533, -73.937117027)
(40.622154596, -74.024161709)
(40.582607668, -73.965512351)
(40.711200917, -73.965907526)
(40.625928479, -73.999796102)
(40.690866375, -73.985848057)
(40.722817256, -73.959050586)
(40.731150491, -73.959478441)
(40.702543307, -73.993538436)
(40.667561658, -73.896705171)
(40.699255721, -73.939298306)
(40.576645978, -73.976480396)
(40.715483214, -73.951847724)
(40.594978166, -74.00106367)
(40.67319504, -73.87818474)
(40.677272421, -73.949809518)
(40.684461543, -73.97775121)
(40.680235291, -73.946511967)
(40.690505869, -73.959005521)
(40.669342832, -73.913079006)
(40.684310557, -73.869903987)
(40.631712142, -73.957524871)
(40.630255106, -74.032703003)
(40.672535429, -73.957877396)
(40.639932074, -74.008533834)
(40.660131034, -73.992904582)
(40.642521076, -73.965621917)
(40.711171417, -73.952388289)
(40.610656355, -74.004719571)
(40.71853313, -73.960319434)
(40.652203794, -73.972557981)
(40.684461543, -73.97775121)
(40.668883767, -73.932505719)
(40.620710104, -73.912281418)
(40.680178278, -73.901689902)
(40.576645978, -73.976480396)
(40.685959359, -73.992631408)
(40.664717351, -73.928231339)
(40.66546555, -73.935605518)
(40.662389273, -73.985345874)
(40.690435308, -73.984769974)
(40.629752787, -74.021062573)
(40.703437505, -73.986628029)
(40.647951397, -73.960606456)
(40.664297758, -73.902589205)
(40.669232552, -73.928294972)
(40.58085323, -73.955987605)
(40.678806596, -73.920349394)
(40.589581798, -73.949547778)
(40.68336304, -73.974867134)
(40.610717129, -73.920985283)
(40.662003061, -73.994515549)
(40.711933656, -73.957336685)
(40.631111824, -73.952531869)
(40.648706769, -73.905130941)
(40.701462152, -73.929064564)
(40.661417297, -73.941289909)
(40.682793016, -73.979330986)
(40.577990723, -73.95684266)
(40.602216166, -74.002950799)
(40.674724111, -73.970158543)
(40.657739603, -73.868597031)
(40.622153897, -74.027284856)
(40.680498195, -73.951357412)
(40.686876948, -73.97777925)
(40.698611396, -73.940633254)
(40.621429167, -74.027727632)
(40.621429167, -74.027727632)
(40.663313144, -73.885534282)
(40.623032696, -73.997440211)
(40.639550643, -74.007142956)
(40.716787681, -73.936342339)
(40.613305542, -73.917185953)
(40.673577141, -73.908401375)
(40.682932039, -73.964223772)
(40.576645978, -73.976480396)
(40.576645978, -73.976480396)
(40.626499707, -73.976343948)
(40.650467172, -73.957267875)
(40.576645978, -73.976480396)
(40.667003287, -73.881260018)
(40.662518015, -73.927011804)
(40.642043072, -73.949609007)
(40.698858211, -73.91794522)
(40.656654518, -73.930402478)
(40.669981903, -73.859780723)
(40.688103057, -73.99313959)
(40.689031425, -73.939242708)
(40.680314367, -73.913958843)
(40.707097978, -73.945714943)
(40.576515621, -73.970609192)
(40.663500558, -73.926873758)
(40.674831051, -73.863617165)
(40.610717129, -73.920985283)
(40.691106222, -73.924871016)
(40.649610464, -73.938377673)
(40.604281114, -73.978977154)
(40.690435308, -73.984769974)
(40.619098423, -73.915291275)
(40.711568742, -73.944755427)
(40.669831796, -73.939375551)
(40.660216069, -73.949123116)
(40.69951859, -73.993827244)
(40.685881653, -73.984176075)
(40.630554486, -73.980172181)
(40.682084646, -73.89115186)
(40.577904067, -73.960100589)
(40.671711322, -73.994132629)
(40.638614237, -73.948267625)
(40.671711322, -73.994132629)
(40.720459823, -73.952709943)
(40.575284178, -73.996970475)
(40.690866375, -73.985848057)
(40.662702186, -73.88123163)
(40.587923381, -73.954805615)
(40.690435308, -73.984769974)
(40.610717129, -73.920985283)
(40.610717129, -73.920985283)
(40.692403887, -73.990070406)
(40.63125716, -73.945996398)
(40.690622013, -73.985235098)
(40.690622013, -73.985235098)
(40.678837642, -73.934785017)
(40.674724111, -73.970158543)
(40.608499037, -74.001128713)
(40.631901201, -73.887702988)
(40.609900125, -73.922372861)
(40.680442873, -73.950358757)
(40.668280465, -73.902626646)
(40.609900125, -73.922372861)
(40.654975367, -73.947098048)
(40.68673597, -73.990467881)
(40.690629556, -73.903967876)
(40.702036293, -73.951085631)
(40.638253854, -73.981596728)
(40.678959455, -73.923136122)
(40.592679566, -73.960765085)
(40.576332605, -73.964068481)
