(40.637875263, -74.161787714)
(40.614399268, -74.157664344)
(40.637875263, -74.161787714)
(40.569611937, -74.108156629)
(40.589826772, -74.16427807)
(40.511586338, -74.249303727)
(40.564258231, -74.142127333)
(40.588560861, -74.160789729)
(40.631394922, -74.1385847)
(40.637952023, -74.077442866)
(40.597334665, -74.068641946)
(40.604164643, -74.083810346)
(40.606418845, -74.082811986)
(40.564714891, -74.127209812)
(40.572965515, -74.114418159)
(40.57336276, -74.11517116)
(40.571633999, -74.111921408)
(40.596012127, -74.067873608)
(40.592858665, -74.067341104)
(40.538899202, -74.1462576)
(40.616953779, -74.082245139)
(40.596801091, -74.134937222)
(40.596801091, -74.134937222)
(40.631938635, -74.163473834)
(40.555236469, -74.215822811)
(40.565480822, -74.122032031)
(40.585895052, -74.094667501)
(40.61245599, -74.088387743)
(40.632616265, -74.107945297)
(40.613744655, -74.086606561)
(40.566416677, -74.108478988)
(40.631011472, -74.079960322)
(40.594559341, -74.167714041)
(40.618431268, -74.077146462)
(40.51143976, -74.245998184)
(40.511586338, -74.249303727)
(40.605610703, -74.06302874)
(40.574401071, -74.117120374)
(40.639351172, -74.086135351)
(40.559659345, -74.198544446)
(40.636693715, -74.146360248)
(40.574936003, -74.164410632)
(40.623341909, -74.095181711)
(40.574401071, -74.117120374)
(40.532369003, -74.224602216)
(40.629191231, -74.07658248)
(40.574285688, -74.105914405)
(40.606934811, -74.090181147)
(40.606171176, -74.090918399)
(40.605635887, -74.090986096)
(40.606171176, -74.090918399)
(40.637554586, -74.142784275)
(40.554831978, -74.174408517)
(40.55906177, -74.131035421)
(40.596039846, -74.080231716)
(40.619427516, -74.161775418)
(40.606171176, -74.090918399)
(40.601015982, -74.09150196)
(40.604164643, -74.083810346)
(40.603415701, -74.083276422)
(40.604323762, -74.083918584)
(40.604655658, -74.084225112)
(40.532488441, -74.192060318)
(40.504742072, -74.239655485)
(40.645378343, -74.090211487)
(40.615423403, -74.084350357)
(40.635627079, -74.092450163)
(40.637554586, -74.142784275)
(40.563058229, -74.110103909)
(40.640129294, -74.115852105)
(40.629574955, -74.161825234)
(40.577858191, -74.104264136)
(40.637055623, -74.120710892)
(40.612834554, -74.068611061)
(40.605837144, -74.086275781)
(40.53433411, -74.193011771)
(40.626858064, -74.163443377)
(40.636624596, -74.140152071)
(40.560042335, -74.186201336)
(40.646125798, -74.089091795)
