(40.749590951, -73.902110795)
(40.749472907, -73.866557388)
(40.739785658, -73.946453337)
(40.762642402, -73.758672201)
(40.675633651, -73.822221295)
(40.75643117, -73.887420863)
(40.709154455, -73.895057269)
(40.745034643, -73.912305393)
(40.743164671, -73.918702632)
(40.774617336, -73.908547627)
(40.673265425, -73.728334886)
(40.668743003, -73.807791741)
(40.681975303, -73.841854281)
(40.73897814, -73.934726155)
(40.669760625, -73.796224523)
(40.699478069, -73.763098739)
(40.737386442, -73.93518599)
(40.781494923, -73.911127174)
(40.759869755, -73.828970412)
(40.731468932, -73.821188335)
(40.753532458, -73.706596761)
(40.720734988, -73.844439134)
(40.701083999, -73.891196577)
(40.751191693, -73.862378068)
(40.597698782, -73.749063286)
(40.744204266, -73.885608229)
(40.678677817, -73.845150138)
(40.754681419, -73.904135415)
(40.607617624, -73.756300986)
(40.722653586, -73.840433734)
(40.777055482, -73.909584139)
(40.757044184, -73.906918583)
(40.736399797, -73.920049611)
(40.762198288, -73.831502141)
(40.715215933, -73.742340563)
(40.775644736, -73.920843753)
(40.753532458, -73.706596761)
(40.686411983, -73.823735811)
(40.745022733, -73.935882296)
(40.745022733, -73.935882296)
(40.745022733, -73.935882296)
(40.757509699, -73.803435124)
(40.731565366, -73.826816818)
(40.691573049, -73.819001907)
(40.65425972, -73.728012235)
(40.742085974, -73.946917014)
(40.70783714, -73.737113842)
(40.687447672, -73.817278724)
(40.739392952, -73.867880276)
(40.680862539, -73.831393979)
(40.703554914, -73.799677386)
(40.753158581, -73.911623363)
(40.733926841, -73.871582398)
(40.722878072, -73.781555546)
(40.761965355, -73.897053313)
(40.599547164, -73.762509828)
(40.742031597, -73.919425761)
(40.744331731, -73.884070637)
(40.764343423, -73.767665644)
(40.705156064, -73.902121942)
(40.680572447, -73.856293659)
(40.772094775, -73.904976836)
(40.745049776, -73.85413721)
(40.714809301, -73.774872476)
(40.744862893, -73.903471073)
(40.70607933, -73.800813152)
(40.76579237, -73.94694866)
(40.700349045, -73.904278457)
(40.737301962, -73.863611987)
(40.694356925, -73.734458763)
(40.595214685, -73.782725754)
(40.701013383, -73.891990124)
(40.72603591, -73.725742176)
(40.770535543, -73.927304995)
(40.735144868, -73.852701114)
(40.772090282, -73.813631083)
(40.708858707, -73.859637628)
(40.767585718, -73.896080725)
(40.700455091, -73.90308456)
(40.75992938, -73.830313069)
(40.751482265, -73.822033318)
(40.759300545, -73.867801083)
(40.708279103, -73.789163473)
(40.604043967, -73.752485866)
(40.759869755, -73.828970412)
(40.653935115, -73.846277947)
