(40.61641783, -74.079355724)
(40.53802988, -74.218364799)
(40.621415599, -74.080078505)
(40.628902162, -74.077871883)
(40.638150666, -74.075915376)
(40.638150666, -74.075915376)
(40.631795189, -74.158098144)
(40.550945096, -74.176352312)
(40.598909178, -74.132510809)
(40.553084193, -74.184523023)
(40.511586338, -74.249303727)
(40.602470301, -74.092033328)
(40.638984176, -74.171252305)
(40.597935229, -74.064857975)
(40.549991806, -74.136692249)
(40.61641783, -74.079355724)
(40.624236772, -74.080755533)
(40.601700389, -74.19280679)
(40.642221325, -74.112583911)
(40.512089537, -74.247622521)
(40.607548452, -74.10148696)
(40.542998041, -74.163932678)
(40.578175676, -74.169526838)
(40.608231816, -74.113333326)
(40.612618212, -74.128770607)
(40.527595098, -74.191657765)
(40.582301992, -74.168936095)
(40.626245194, -74.175157121)
(40.626910519, -74.149083904)
(40.613881523, -74.066566315)
(40.623226819, -74.149226973)
(40.63972025, -74.088074347)
(40.544909306, -74.161379125)
(40.538002126, -74.148025712)
(40.584256706, -74.168656624)
(40.58692579, -74.164083716)
(40.567035268, -74.11312306)
(40.582301992, -74.168936095)
(40.623226819, -74.149226973)
(40.524745609, -74.20304491)
(40.58692579, -74.164083716)
(40.58692579, -74.164083716)
(40.548171306, -74.141787262)
(40.57156584, -74.108580938)
(40.643965227, -74.099643346)
(40.537323665, -74.148405563)
(40.574305237, -74.119557181)
(40.623226819, -74.149226973)
(40.542591895, -74.218300551)
(40.586049449, -74.168394728)
(40.608890956, -74.153235851)
(40.632165885, -74.165787383)
(40.635736341, -74.082311525)
(40.582608077, -74.162244247)
(40.615530201, -74.084689069)
(40.579137357, -74.168848892)
(40.57697314, -74.169736175)
(40.575803739, -74.169812399)
(40.560677067, -74.169824334)
(40.610566773, -74.177035653)
(40.626179658, -74.134088798)
(40.618913535, -74.15833779)
(40.589647165, -74.157285459)
(40.579137357, -74.168848892)
(40.582608077, -74.162244247)
(40.623226819, -74.149226973)
(40.546621022, -74.158188075)
(40.625563328, -74.075508394)
(40.612762845, -74.064465384)
(40.63075876, -74.104191867)
(40.623226819, -74.149226973)
(40.553665499, -74.186590203)
(40.564683889, -74.10641386)
(40.534396125, -74.153766566)
(40.597751089, -74.082369124)
(40.58692579, -74.164083716)
(40.632398051, -74.097179771)
(40.639599873, -74.075978281)
(40.542079771, -74.163059724)
(40.626858064, -74.163443377)
(40.626858064, -74.163443377)
(40.542591895, -74.218300551)
(40.607603626, -74.121046597)
(40.612618212, -74.128770607)
(40.584327988, -74.087464863)
(40.630273156, -74.133217966)
(40.565003299, -74.102278926)
(40.582301992, -74.168936095)
(40.634862599, -74.090798961)
(40.542591895, -74.218300551)
(40.62676108, -74.078085534)
(40.552272306, -74.190886504)
(40.613724029, -74.084820045)
(40.64173826, -74.075678037)
(40.567035268, -74.11312306)
(40.63878967, -74.088199229)
(40.58692579, -74.164083716)
(40.57697314, -74.169736175)
(40.625856481, -74.155331804)
(40.597138004, -74.067006935)
(40.58692579, -74.164083716)
(40.542591895, -74.218300551)
(40.64173826, -74.075678037)
(40.541687675, -74.146461587)
(40.541687675, -74.146461587)
(40.581537433, -74.1117436)
(40.633486987, -74.104297006)
(40.565395053, -74.111918153)
(40.560979671, -74.195302111)
(40.545032276, -74.165617979)
(40.613847698, -74.080796991)
(40.534396125, -74.153766566)
(40.582301992, -74.168936095)
(40.617587118, -74.083229267)
(40.571087266, -74.11792445)
(40.582301992, -74.168936095)
(40.552562252, -74.163038526)
(40.575803739, -74.169812399)
(40.575803739, -74.169812399)
(40.575803739, -74.169812399)
(40.625204579, -74.11439604)
(40.547664538, -74.143175106)
(40.551654022, -74.148656898)
(40.534341185, -74.236214461)
(40.582301992, -74.168936095)
(40.626245194, -74.175157121)
(40.638984176, -74.171252305)
(40.567035268, -74.11312306)
(40.620012809, -74.155332613)
(40.58692579, -74.164083716)
(40.634044252, -74.123609375)
(40.59576601, -74.093874911)
(40.54800321, -74.226151643)
(40.548165535, -74.218872894)
(40.610264838, -74.160200918)
(40.534396125, -74.153766566)
(40.542591895, -74.218300551)
(40.567035268, -74.11312306)
(40.595365808, -74.086179432)
(40.535629011, -74.222213575)
(40.546820269, -74.159001738)
(40.630900217, -74.139116875)
(40.582301992, -74.168936095)
(40.5809437, -74.100798527)
(40.604190952, -74.092453448)
(40.545532177, -74.155558869)
(40.581682946, -74.089794242)
(40.582301992, -74.168936095)
(40.57697314, -74.169736175)
(40.623226819, -74.149226973)
(40.630539825, -74.106479241)
(40.638871245, -74.092667244)
(40.628615205, -74.080054721)
(40.587603573, -74.168009805)
(40.582608077, -74.162244247)
(40.582301992, -74.168936095)
(40.542591895, -74.218300551)
(40.625018351, -74.14773598)
(40.578175676, -74.169526838)
(40.582564856, -74.098817311)
(40.582301992, -74.168936095)
(40.542591895, -74.218300551)
(40.622934398, -74.078733072)
(40.579137357, -74.168848892)
(40.58404826, -74.158917563)
(40.58692579, -74.164083716)
(40.622663272, -74.145619831)
(40.592572935, -74.159416738)
(40.612421278, -74.071171461)
(40.629271641, -74.079432253)
(40.567035268, -74.11312306)
(40.508761762, -74.222678086)
(40.625987024, -74.156221915)
(40.63412778, -74.122503441)
(40.612079081, -74.089514576)
(40.609145773, -74.101658661)
(40.595365808, -74.086179432)
(40.582301992, -74.168936095)
(40.582608077, -74.162244247)
(40.598572594, -74.081232229)
(40.623226819, -74.149226973)
(40.572465993, -74.169850708)
(40.613037241, -74.145642054)
(40.635827348, -74.085485868)
(40.612079081, -74.089514576)
(40.609279152, -74.099800462)
(40.573758907, -74.114275532)
(40.578175676, -74.169526838)
(40.634948381, -74.086335036)
(40.578175676, -74.169526838)
(40.567035268, -74.11312306)
(40.546685907, -74.139920252)
(40.586126055, -74.154915363)
(40.599819007, -74.178242314)
(40.601700389, -74.19280679)
(40.608734053, -74.088379214)
(40.636369999, -74.11750657)
(40.645448464, -74.080810034)
(40.639306469, -74.13770394)
(40.616308029, -74.139824861)
(40.628997623, -74.146120007)
