(40.822039935, -73.891732267)
(40.84617714, -73.918681558)
(40.863338448, -73.896469785)
(40.873671035, -73.908013649)
(40.868467378, -73.821582846)
(40.879180176, -73.90529028)
(40.827132485, -73.887149486)
(40.840018409, -73.873434004)
(40.811588415, -73.918940567)
(40.835069074, -73.860979497)
(40.873671035, -73.908013649)
(40.868467378, -73.821582846)
(40.853239381, -73.907875626)
(40.903519069, -73.900853103)
(40.898414394, -73.908004727)
(40.802023496, -73.912064166)
(40.839736916, -73.85797371)
(40.84499609, -73.851673568)
(40.824550773, -73.910235021)
(40.824884972, -73.899459937)
(40.855590823, -73.862895877)
(40.862687276, -73.866424221)
(40.818931698, -73.81348184)
(40.865658464, -73.891310558)
(40.852332981, -73.863000189)
(40.832515484, -73.896582793)
(40.841565701, -73.885892583)
(40.878847806, -73.915560636)
(40.817474228, -73.896360494)
(40.816508457, -73.925220792)
(40.83974827, -73.853878986)
(40.828493932, -73.90554671)
(40.854424925, -73.863404357)
(40.835609202, -73.913794155)
(40.833168375, -73.862136231)
(40.877326571, -73.886037329)
(40.806201152, -73.915988729)
(40.809450076, -73.922645866)
(40.83586689, -73.92949225)
(40.874578156, -73.841099694)
(40.812580311, -73.905872748)
(40.862763361, -73.901080165)
(40.816327333, -73.917225961)
(40.885137765, -73.858567473)
(40.868467378, -73.821582846)
(40.837778868, -73.919450746)
(40.867326052, -73.831011607)
(40.834823614, -73.902690079)
(40.816980584, -73.921152255)
(40.855571684, -73.867660345)
(40.846291834, -73.917857337)
(40.86808154, -73.831486943)
(40.873671035, -73.908013649)
(40.873671035, -73.908013649)
(40.892121215, -73.908483631)
(40.871264075, -73.825068156)
(40.8393292, -73.915025325)
(40.814484954, -73.857529052)
(40.864390803, -73.891724781)
(40.831440178, -73.89129057)
(40.817356155, -73.909330682)
(40.805225863, -73.914747379)
(40.812387417, -73.904940985)
(40.833905751, -73.889266474)
(40.853823567, -73.907332598)
(40.836630355, -73.885536048)
(40.868467378, -73.821582846)
(40.835236181, -73.900481452)
(40.829984822, -73.902856149)
(40.812316895, -73.8963613)
(40.840100856, -73.915559219)
(40.890992367, -73.858714156)
(40.869503662, -73.826182792)
(40.828769543, -73.822661309)
(40.825471963, -73.892940737)
(40.832100936, -73.929152947)
(40.906577758, -73.902161752)
(40.879077207, -73.888355909)
(40.82817579, -73.823869769)
(40.837185665, -73.907980975)
(40.816703711, -73.865226753)
(40.836484462, -73.885109864)
(40.817877907, -73.916956682)
(40.815698577, -73.924932683)
(40.816068266, -73.908552085)
(40.89309062, -73.857548661)
(40.863338448, -73.896469785)
(40.815698577, -73.924932683)
(40.873671035, -73.908013649)
(40.853320229, -73.906024752)
(40.853320229, -73.906024752)
(40.896068724, -73.844864358)
(40.868246961, -73.888688646)
(40.858233272, -73.887635355)
(40.865798594, -73.883041801)
(40.825258049, -73.851059955)
(40.863338448, -73.896469785)
(40.903695871, -73.850862476)
(40.862188599, -73.890712482)
(40.868467378, -73.821582846)
(40.820750538, -73.848432551)
(40.850998555, -73.909899314)
(40.83342652, -73.902648758)
(40.823387291, -73.87017045)
(40.807050801, -73.883094459)
(40.842969108, -73.901734856)
(40.83755445, -73.86682523)
(40.848297005, -73.916174122)
(40.851199633, -73.832017691)
(40.833638977, -73.910815406)
(40.815635776, -73.896930554)
(40.849402128, -73.832210187)
(40.851618598, -73.916863953)
(40.834348017, -73.908465527)
(40.871678026, -73.897798251)
(40.855260571, -73.896225703)
(40.842539396, -73.845271095)
(40.88367976, -73.833450905)
(40.815547565, -73.887707424)
(40.824722374, -73.905161836)
(40.87864856, -73.824083214)
(40.808386501, -73.92905537)
(40.832676612, -73.859481219)
(40.871115998, -73.898518646)
(40.821214929, -73.87649387)
(40.81890033, -73.838139994)
(40.863267647, -73.86991183)
(40.868467378, -73.821582846)
(40.845965785, -73.868163781)
(40.868467378, -73.821582846)
(40.840956556, -73.863334429)
(40.837778868, -73.919450746)
(40.868467378, -73.821582846)
(40.814612232, -73.91395502)
(40.89309062, -73.857548661)
(40.816980584, -73.921152255)
(40.820518656, -73.921339551)
(40.877961257, -73.886708837)
(40.827112801, -73.81461518)
(40.869503662, -73.826182792)
(40.821003964, -73.896387514)
(40.872335706, -73.867127999)
(40.837778868, -73.919450746)
(40.823387291, -73.87017045)
(40.852445562, -73.828175706)
(40.843762188, -73.911745153)
(40.805658231, -73.920616616)
(40.866012164, -73.867339484)
(40.810239826, -73.930097386)
(40.812161567, -73.926385298)
(40.846125588, -73.892571361)
(40.834160699, -73.891831796)
(40.826267437, -73.9154756)
(40.867503391, -73.894800154)
(40.867503391, -73.894800154)
(40.887089188, -73.867785667)
(40.815180724, -73.903950729)
(40.861257822, -73.862211767)
(40.841382044, -73.891838127)
(40.807218248, -73.926275173)
(40.854451289, -73.864814086)
(40.869470477, -73.879860804)
(40.853085336, -73.894649448)
(40.867263716, -73.896857767)
(40.870073168, -73.884111755)
(40.829431305, -73.89757045)
(40.843359419, -73.884563085)
(40.853320229, -73.906024752)
(40.810735934, -73.924649284)
(40.876489219, -73.839659563)
(40.877315342, -73.900613738)
(40.874783558, -73.902450802)
(40.869520657, -73.891738122)
(40.853695792, -73.857390841)
(40.885036207, -73.9143738)
(40.84545959, -73.902952824)
(40.870567022, -73.866176986)
(40.814276625, -73.91295475)
(40.845504692, -73.883478673)
(40.890137444, -73.836892362)
(40.823793548, -73.926159253)
(40.860463064, -73.865561049)
(40.866035075, -73.891935417)
(40.870600658, -73.890246693)
(40.841989922, -73.924494618)
(40.851069786, -73.882323082)
(40.837778868, -73.919450746)
(40.873671035, -73.908013649)
(40.835941215, -73.860417533)
(40.835941215, -73.860417533)
(40.844491727, -73.878008413)
(40.838431859, -73.923103667)
(40.837778868, -73.919450746)
(40.881755556, -73.882355561)
(40.85850078, -73.907629744)
(40.844816706, -73.908920981)
(40.840758173, -73.843309173)
(40.818740515, -73.914253164)
(40.831500621, -73.867704608)
(40.8465092, -73.894847813)
(40.813563763, -73.921676519)
(40.842582556, -73.892989099)
(40.842621287, -73.905935054)
(40.852141187, -73.922375722)
(40.841491422, -73.888523795)
(40.816985648, -73.847014071)
(40.843247876, -73.88555719)
(40.849511509, -73.907175949)
(40.832361919, -73.921061756)
(40.805658231, -73.920616616)
(40.822070312, -73.894897269)
(40.83900482, -73.91072509)
(40.834722936, -73.89432799)
(40.816980584, -73.921152255)
