00,5427
01,4108
02,3011
03,2340
04,1882
05,1771
06,2325
07,4701
08,7858
09,8133
10,8905
11,9363
12,10508
13,9642
14,10918
15,12555
16,10829
17,10688
18,11209
19,10512
20,10746
21,9718
22,8076
23,6880
